address,name,online_order,book_table,rate,votes,phone,location,rest_type,cuisines,approx_cost(for two people),menu_item,listed_in(type),listed_in(city)
"942, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Jalsa,Yes,Yes,4.1/5,775,"080 42297555
+91 9743772233",Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",800,"['Hyderabadi Biryani', 'Veg Platter', 'Sweet Lassi', 'Paneer Lababdar', 'Vada']",Buffet,Banashankari
"2nd Floor, 80 Feet Road, Near Big Bazaar, 6th Block, Kathriguppe, 3rd Stage, Banashankari, Bangalore",Spice Elephant,Yes,No,4.1/5,787,080 41714161,Banashankari,Casual Dining,"Chinese, North Indian, Thai",800,"['Salad', 'Chicken Sizzler', 'Prompt Service', 'Manchurian', 'Chaat']",Buffet,Banashankari
"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",San Churro Cafe,Yes,No,3.8/5,918,+91 9663487993,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800,"['Sauteed Vegetables', 'California Burrito', 'Decor', 'Pizza', 'Peri Peri Chicken Steak']",Buffet,Banashankari
"1st Floor, Annakuteera, 3rd Stage, Banashankari, Bangalore",Addhuri Udupi Bhojana,No,No,3.7/5,88,+91 9620009302,Banashankari,Quick Bites,"South Indian, North Indian",300,"['Ghee Rice', 'Vada', 'Chaat', 'Chicken Shwarma Roll', 'Aloo Paratha']",Buffet,Banashankari
"10, 3rd Floor, Lakshmi Associates, Gandhi Bazaar Main Road, Above Reliance Trends, Basavanagudi, Bangalore",Grand Village,No,No,3.8/5,166,"+91 8026612447
+91 9901210005",Basavanagudi,Casual Dining,"North Indian, Rajasthani",600,"['Malpua', 'Jalebi Rabri', 'Pasta', 'Kheer', 'Chicken Shawarama']",Buffet,Banashankari
"37, 5-1, 4th Floor, Bosco Court, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",Timepass Dinner,Yes,No,3.8/5,286,"+91 9980040002
+91 9980063005",Basavanagudi,Casual Dining,North Indian,600,"['French Fries', 'Tandoori Roti', 'Aloo Kulcha', 'Palak Paneer', 'Paratha']",Buffet,Banashankari
"19/1, New Timberyard Layout, Beside Satellite Bus Stop, Mysore Road, Bangalore",Rosewood International Hotel - Bar & Restaurant,No,No,3.6/5,8,"+91 9731716688
080 26740366",Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800,"['Biryani', 'Mutton Biryani', 'Veg Seekh Kebab', 'Masala Dosa', 'Chicken Guntur']",Buffet,Banashankari
"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",Onesta,Yes,Yes,4.6/5,2556,"080 48653961
080 48655715",Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,"['Coffee', 'Tiramisu', 'Cheese Balls', 'Burgers', 'Margherita Pizza']",Cafes,Banashankari
"1, 30th Main Road, 3rd Stage, Banashankari, Bangalore",Penthouse Cafe,Yes,No,4.0/5,324,"+91 8884135549
+91 9449449316",Banashankari,Cafe,"Cafe, Italian, Continental",700,"['Peri Peri Fries', 'Pizza', 'Tea', 'Spinach Pasta', 'Cocktails']",Cafes,Banashankari
"2470, 21 Main Road, 25th Cross, Banashankari, Bangalore",Smacznego,Yes,No,4.2/5,504,"+91 9945230807
+91 9743804471",Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550,"['Chilli Chicken', 'Tandoori Aloo', 'Maggi', 'Pizza', 'Milk Shake']",Cafes,Banashankari
"941, 3rd FLOOR, 21st Main, 22nd Cross, Banashankari 2nd stage, Opposite to BDA complex, Banashankari",Cafe Shuffle,Yes,Yes,4.2/5,150,+91 9742166777,Banashankari,Cafe,"Cafe, Italian, Continental",600,"['Cannelloni', 'Peri Peri Pizza', 'Sandwiches', 'Fries', 'Falafel']",Cafes,Banashankari
"6th Block, 3rd Stage, Banashankari, Bangalore",The Coffee Shack,Yes,Yes,4.2/5,164,+91 9731644212,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",500,"['Tea', 'Chicken Burger', 'Pav Bhaji', 'Tiramisu', 'Friendly Staff']",Cafes,Banashankari
"111, Sapphire Toys Building, 100 Feet Ring Road, Banashankari, Bangalore",Caf-Eleven,No,No,4.0/5,424,080 49577715,Banashankari,Cafe,"Cafe, Continental",450,"['Peri Peri Chicken Pizza', 'Burgers', 'Fajitas', 'Pizza', 'Potato Fries']",Cafes,Banashankari
"2303, 21st Cross, K R Road, 2nd Stage, Banashankari, Bangalore",Cafe Vivacity,Yes,No,3.8/5,90,"080 26768182
+91 9845704455",Banashankari,Cafe,Cafe,650,"['Donut', 'Berryblast', 'Oreo Cheesecake', 'Peri Peri Pizza', 'Coffee']",Cafes,Banashankari
"241, 4th Floor, 100 Feet Ring Road, Opposite Kamakya Theatre, Banashankari, Bangalore",Catch-up-ino,Yes,No,3.9/5,133,"+91 9972988038
+91 9900121238",Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800,"['Raita', 'Chocolate Momos', 'Chicken Thupka', 'Kerala Parotta', 'Roti']",Cafes,Banashankari
"405, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore",Kirthi's Biryani,Yes,No,3.8/5,144,"080 26711554
+91 9741406338",Banashankari,Cafe,"Chinese, Cafe, Italian",700,"['Burgers', 'Cheesecake', 'Veg Burger', 'Pasta', 'Biryani']",Cafes,Banashankari
"504, CJ Venkata Das Road, Padmanabhangar, 2nd Stage, Banashankari, Bangalore",T3H Cafe,No,No,3.9/5,93,+91 8884726600,Banashankari,Cafe,"Cafe, Italian, American",300,"['Fries', 'Pasta', 'Cutting Chai', 'Bbq Chicken Pizza', 'Sunday Morning Breakfast']",Cafes,Banashankari
"47, 48 &49, 3Rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",360 Atoms Restaurant And Cafe,Yes,No,3.1/5,13,+91 9880594520,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",400,"['Orange Juice', 'Monster Pizza', 'Noodles', 'Mutton Biryani', 'Kulcha']",Cafes,Banashankari
